.geo,year,point_id,date,ndvi,savi,evi,rainfall,temp,wind_speed,soil_moisture,bsi,chl,humidity,lswi,ndmi,ndre,psri,vpd
"{""type"": ""Point"", ""coordinates"": [36.41512843928887, -1.3083406362815997]}",2026,77,1/4/2026,0.27366985,0.410448779,0.424209102,0.0,23.38060341,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.08308506107119, -1.0767038544534053]}",2026,87,1/4/2026,0.324215607,0.486258212,0.608454957,0.0,18.54336383,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.397603487163806, -1.0591952623574112]}",2026,94,1/4/2026,0.18869936,0.283011326,0.374563538,0.0,21.52708778,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.942538831785114, -1.3505452282906496]}",2026,96,1/4/2026,0.443841983,0.665634076,1.40406763,0.0,21.5175663,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.26186692439021, -1.4532494457140075]}",2026,110,1/4/2026,0.155615697,0.233391963,0.181193672,0.0,26.04132932,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.33271933352177, 0.1481612402286262]}",2026,115,1/4/2026,0.242479728,0.363672028,0.389070763,0.0,16.6524133,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.29434905869176, -0.23646923485503593]}",2026,125,1/4/2026,0.750387597,1.12543599,2.204341886,0.0,13.81330198,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.23036271561658, -1.2424530516175438]}",2026,127,1/4/2026,0.404086612,0.606037506,0.915055249,0.0,21.04661903,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.29040160320115, -0.35559833800430396]}",2026,130,1/4/2026,0.697762132,1.046511628,1.846061735,0.0,17.12018674,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.05763555649833, -0.9846644677037987]}",2026,140,1/4/2026,0.682274247,1.023197492,2.121684867,0.0,16.60952593,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.06357016320689, -0.990121864051557]}",2026,146,1/4/2026,0.669407183,1.003893576,1.875606208,0.0,16.60952593,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.22171715210702, -0.4955125509873774]}",2026,165,1/4/2026,0.487729001,0.731467081,1.371767451,0.0,20.01968218,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.01630479056365, -1.041104253802222]}",2026,166,1/4/2026,0.219924812,0.329732269,0.47082495,0.0,17.08177528,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.958171922906004, -1.0558778570862752]}",2026,184,1/4/2026,0.263340779,0.394962154,0.550311203,0.0,18.75641721,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.35397109086282, -0.7956183586059914]}",2026,193,1/4/2026,-0.335526316,-0.502463054,0.829268293,0.0,18.79165484,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.381414290805886, -0.5108175692592762]}",2026,197,1/4/2026,0.583742116,0.8754598,1.482206406,0.0,17.11636187,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.42382318077336, 0.6471062068401233]}",2026,0,1/5/2026,0.713644524,1.07022661,1.667365772,0.0,19.23958295,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.67732511786333, -0.3397283068850871]}",2026,1,1/5/2026,-0.279770445,-0.419505199,0.420258621,0.0,23.41267865,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.52880856117759, 0.618311363477042]}",2026,2,1/5/2026,0.52293578,0.784275184,1.06314948,0.0,20.3376461,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.22871626162561, 0.22004049106841325]}",2026,3,1/5/2026,0.636428571,0.954472416,1.366145354,0.0,18.69075483,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.535213798902255, -0.1971424355198805]}",2026,4,1/5/2026,0.595130238,0.892569002,1.396492161,0.0,16.83862267,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.77025744233476, 1.2514602586533992]}",2026,5,1/5/2026,0.655637649,0.983298539,1.359216835,3.910577774,21.70800743,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.55347708621202, -0.5529960097120455]}",2026,6,1/5/2026,0.168831169,0.25319195,-0.496435845,0.0,21.73022423,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.81538048539871, -0.32113905518395836]}",2026,7,1/5/2026,-0.463497453,-0.694656489,-1.444444444,0.0,22.63614871,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.66443022811091, -0.369026719270263]}",2026,9,1/5/2026,0.543224299,0.81459854,1.90106296,0.0,22.57535769,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.17145169877521, -0.2929830390921169]}",2026,10,1/5/2026,0.766122098,1.149018484,2.3994614,0.0,18.78303998,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.457805058425194, -0.21769724670086732]}",2026,11,1/5/2026,-0.069603524,-0.104393789,0.162334327,0.0,24.49332644,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.890813829195686, 0.20915405176432586]}",2026,12,1/5/2026,0.246468723,0.369649805,0.371577575,0.0,21.16040001,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.99591440458882, 1.2535861942081994]}",2026,13,1/5/2026,0.556424035,0.834534131,1.697466468,0.0,25.58048464,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.92807085993709, 0.325181092119749]}",2026,14,1/5/2026,0.199132321,0.298633702,0.268044849,0.0,21.60424767,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.36024954820995, -0.2490225130210669]}",2026,15,1/5/2026,0.582411654,0.873499663,1.461548876,0.0,18.00764936,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.66710946963057, -0.6872634307171226]}",2026,17,1/5/2026,0.718673219,1.077678846,5.921052632,0.0,15.06909142,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.22950764964418, 0.7542846130520374]}",2026,19,1/5/2026,0.14815331,0.22221448,-2.666833919,0.0,18.11979129,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.43182054196002, 1.0877495435161924]}",2026,20,1/5/2026,0.53271028,0.798868945,-2.172953451,0.0,17.97696902,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.99321628502946, 1.4544132836522046]}",2026,22,1/5/2026,0.36474325,0.547042477,0.700345599,0.0,26.48893191,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.26232944112055, 0.04010225626038965]}",2026,26,1/5/2026,-0.147461529,-0.221185594,0.446835071,0.0,22.51220665,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.02437620134046, 0.6259439756250811]}",2026,30,1/5/2026,0.570337365,0.855369928,1.28440367,0.0,18.93562787,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.14910039046757, 0.049733617247289044]}",2026,31,1/5/2026,0.051039698,0.076555024,-0.172869148,0.0,23.39054324,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.07718792628252, 0.5684104596164713]}",2026,32,1/5/2026,-0.535871157,-0.803512623,16.94444444,0.0,25.06583621,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.00458505666602, -0.6611818447121557]}",2026,35,1/5/2026,0.017476962,0.026214402,-0.100760282,0.0,13.56315066,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.055073447974145, -0.5443751612393876]}",2026,36,1/5/2026,0.492987377,0.739351446,1.056983912,0.0,19.6114905,,0.0,,,,,,,,
